Manufacturing Year,Brand,Model,Distance Driven,Fuel Type,Price
2014,Hyundai,Hyundai Grand i10,109K km,petrol,3.63 Lakh
2018,Renault,Renault Kwid,76K km,petrol,3.06 Lakh
2010,Maruti,Maruti Swift Dzire,42.5K km,petrol,2.72 Lakh
2015,Honda,Honda Amaze,69K km,petrol,4.10 Lakh
2024,Renault,Renault Triber,19.5K km,petrol,7.71 Lakh
2013,Honda,Honda Brio,73.5K km,petrol,2.56 Lakh
2019,MG,MG Hector,77.5K km,diesel,12.17 Lakh
2014,Honda,Honda City,95.5K km,petrol,4.63 Lakh
2018,Hyundai,Hyundai Grand i10,39K km,petrol,4.62 Lakh
2017,Hyundai,Hyundai Elite i20,51.5K km,petrol,5.12 Lakh
2014,Hyundai,Hyundai i10,44.5K km,petrol,3.02 Lakh
2022,Volkswagen,Volkswagen Virtus,23.5K km,petrol,10.62 Lakh
2023,MG,MG Astor,12K km,petrol,15.16 Lakh
2017,Hyundai,Hyundai Creta,64.5K km,petrol,8.78 Lakh
2022,Maruti,Maruti Alto 800,17.5K km,petrol,3.54 Lakh
2016,Maruti,Maruti Wagon R,44.5K km,petrol,3.32 Lakh
2023,MG,MG Astor,29K km,petrol,10.94 Lakh
2023,Maruti,Maruti Brezza,71K km,petrol,9.95 Lakh
2016,Hyundai,Hyundai Grand i10,75.5K km,petrol,4.49 Lakh
2021,Tata,Tata Nexon,55K km,diesel,9.45 Lakh
2016,Maruti,Maruti Baleno,131.5K km,petrol,4.02 Lakh
2018,Hyundai,Hyundai Elite i20,104K km,petrol,5.05 Lakh
2018,Maruti,Maruti Ciaz,105K km,petrol,6.29 Lakh
2022,Kia,Kia Seltos,97K km,diesel,12.46 Lakh
2016,Maruti,Maruti Baleno,65.5K km,petrol,5.08 Lakh
2016,Renault,Renault Kwid,107.5K km,petrol,2.60 Lakh
2023,Maruti,Maruti XL6,19.5K km,petrol,11.81 Lakh
2014,Maruti,Maruti Swift,96.5K km,petrol,3.54 Lakh
2024,Tata,Tata Curvv,13.5K km,petrol,12.36 Lakh
2018,Datsun,Datsun Redi-GO,83.5K km,petrol,2.55 Lakh
2018,Maruti,Maruti Alto 800,41.5K km,petrol,2.84 Lakh
2023,Honda,Honda City,26.5K km,petrol,13.35 Lakh
2011,Hyundai,Hyundai i10,35K km,petrol,2.49 Lakh
2017,Hyundai,Hyundai Eon,41.5K km,petrol,2.80 Lakh
2015,Hyundai,Hyundai i20 Active,141.5K km,petrol,4.11 Lakh
2017,Maruti,Maruti Dzire,69.5K km,diesel,6.09 Lakh
2023,Hyundai,Hyundai New i20,27K km,petrol,8.21 Lakh
2013,Maruti,Maruti Alto 800,108.5K km,cng,2.21 Lakh
2017,Maruti,Maruti Baleno,112.5K km,petrol,5.05 Lakh
2019,Renault,Renault Kwid,63.5K km,petrol,3.29 Lakh
2014,Hyundai,Hyundai i10,86K km,petrol,2.78 Lakh
2022,Volkswagen,Volkswagen Virtus,12K km,petrol,10.96 Lakh
2017,Maruti,Maruti Ignis,69K km,petrol,4.85 Lakh
2022,Kia,Kia Sonet,93.5K km,diesel,9.51 Lakh
2013,Maruti,Maruti Swift Dzire,42.5K km,petrol,3.95 Lakh
2018,Maruti,Maruti S-Cross,70.5K km,diesel,7.75 Lakh
2021,Maruti,Maruti Baleno,67.5K km,petrol,6.55 Lakh
2021,Renault,Renault Kwid,79K km,petrol,3.36 Lakh
2022,Hyundai,Hyundai Venue,12K km,petrol,8.81 Lakh
2018,Maruti,Maruti Baleno,48K km,petrol,5.22 Lakh
2022,Maruti,Maruti XL6,30K km,petrol,11.60 Lakh
2020,Datsun,Datsun Redi-GO,39K km,petrol,2.97 Lakh
2014,Hyundai,Hyundai Grand i10,90.5K km,petrol,3.31 Lakh
2021,Maruti,Maruti Alto 800,29K km,petrol,3.47 Lakh
2012,Maruti,Maruti Swift Dzire,75K km,petrol,3.42 Lakh
2018,Renault,Renault Kwid,93.5K km,petrol,2.90 Lakh
2023,Mahindra,Mahindra Scorpio N,55K km,petrol,19.09 Lakh
2019,Renault,Renault Triber,69.5K km,petrol,4.85 Lakh
2018,Hyundai,Hyundai Grand i10,14K km,petrol,5.39 Lakh
